_id,humidity,Luminosity,,,,,,,,,,,,,,,,,
6792bd821f93042bb2f6cd9c,18.78,598.75,,,,,,,,,,,,,,,,,
6792bd871f93042bb2f6cd9d,18.72,621.5,,,,,,,,,,,,,,,,,
6792bd8c1f93042bb2f6cd9e,18.7,604.75,,,,,,,,,,,,,,,,,
6792bd911f93042bb2f6cd9f,18.75,615.25,,,,,,,,,,,,,,,,,
6792bd971f93042bb2f6cda0,18.69,625,,,,,,,,,,,,,,,,,
6792bd9c1f93042bb2f6cda1,18.62,675.75,,,,,,,,,,,,,,,,,
6792bda11f93042bb2f6cda2,18.56,681.25,,,,,,,,,,,,,,,,,
6792bda61f93042bb2f6cda3,18.51,613.75,,,,,,,,,,,,,,,,,
6792bdab1f93042bb2f6cda4,18.49,631,,,,,,,,,,,,,,,,,
6792bdb11f93042bb2f6cda5,18.52,624.25,,,,,,,,,,,,,,,,,
6792bdb61f93042bb2f6cda6,18.59,655.5,,,,,,,,,,,,,,,,,
6792bdbb1f93042bb2f6cda7,18.74,717,,,,,,,,,,,,,,,,,
6792bdc01f93042bb2f6cda8,18.79,726,,,,,,,,,,,,,,,,,
6792bdc51f93042bb2f6cda9,18.84,726,,,,,,,,,,,,,,,,,
6792bdcb1f93042bb2f6cdaa,18.83,730.75,,,,,,,,,,,,,,,,,
6792bdd01f93042bb2f6cdab,18.74,736,,,,,,,,,,,,,,,,,
6792bdd51f93042bb2f6cdac,18.73,721.75,,,,,,,,,,,,,,,,,
6792bdda1f93042bb2f6cdad,18.7,736.5,,,,,,,,,,,,,,,,,
6792bde01f93042bb2f6cdae,18.7,630.5,,,,,,,,,,,,,,,,,
6792bde51f93042bb2f6cdaf,18.64,719,,,,,,,,,,,,,,,,,
6792bdea1f93042bb2f6cdb0,18.56,731.5,,,,,,,,,,,,,,,,,
6792bdef1f93042bb2f6cdb1,18.46,709.75,,,,,,,,,,,,,,,,,
6792bdf41f93042bb2f6cdb2,18.38,670,,,,,,,,,,,,,,,,,\
6792bdfa1f93042bb2f6cdb3,18.29,433.5,,,,,,,,,,,,,,,,,
6792bdff1f93042bb2f6cdb4,18.23,554,,,,,,,,,,,,,,,,,
6792be041f93042bb2f6cdb5,18.22,696.5,,,,,,,,,,,,,,,,,
6792be091f93042bb2f6cdb6,18.29,689,,,,,,,,,,,,,,,,,
6792be0e1f93042bb2f6cdb7,18.31,672,,,,,,,,,,,,,,,,,
6792be141f93042bb2f6cdb8,18.27,679.5,,,,,,,,,,,,,,,,,
6792be191f93042bb2f6cdb9,18.25,673.25,,,,,,,,,,,,,,,,,
6792be1e1f93042bb2f6cdba,18.3,661.5,,,,,,,,,,,,,,,,,
6792be231f93042bb2f6cdbb,18.33,686.25,,,,,,,,,,,,,,,,,
6792be281f93042bb2f6cdbc,18.53,729.25,,,,,,,,,,,,,,,,,
6792be2e1f93042bb2f6cdbd,18.78,696,,,,,,,,,,,,,,,,,
